,Brand Name,Model Name,Price
168,Lenovo,Lenovo Vibe Z2 Pro,"Rs.29,999"
169,Lenovo,Lenovo K860,"Rs.28,499"
170,Lenovo,Lenovo Vibe X,"Rs.26,999"
171,Lenovo,Lenovo Phab 2 Pro,"Rs.22,999"
172,Lenovo,Lenovo S820,"Rs.20,981"
173,Lenovo,Lenovo Vibe X3,"Rs.19,995"
174,Lenovo,Lenovo S860,"Rs.18,748"
175,Lenovo,Lenovo S880,"Rs.16,901"
176,Lenovo,Lenovo Vibe P1,"Rs.15,999"
177,Lenovo,Lenovo P2,"Rs.15,990"
178,Lenovo,Lenovo A706,"Rs.15,949"
179,Lenovo,Lenovo P780,"Rs.15,410"
180,Lenovo,Lenovo Vibe Z,"Rs.14,500"
181,Lenovo,Lenovo Phab 2 Plus,"Rs.13,999"
182,Lenovo,Lenovo S930,"Rs.13,604"
183,Lenovo,Lenovo A850,"Rs.13,499"
184,Lenovo,Lenovo Vibe S1,"Rs.12,999"
185,Lenovo,Lenovo Phab Plus,"Rs.12,999"
186,Lenovo,Lenovo Sisley S90,"Rs.12,999"
187,Lenovo,Lenovo Vibe S1 Lite,"Rs.11,999"
188,Lenovo,Lenovo Phab,"Rs.11,999"
189,Lenovo,Lenovo P770,"Rs.11,980"
190,Lenovo,Lenovo Vibe Shot,"Rs.11,917"
191,Lenovo,Lenovo Z2 Plus,"Rs.10,499"
192,Lenovo,Lenovo K3 Note Music,"Rs.10,296"
193,Lenovo,Lenovo S920,"Rs.10,199"
194,Lenovo,Lenovo P700i,"Rs.10,000"
195,Lenovo,Lenovo Zuk Z1,"Rs.9,999"
196,Micromax,Micromax Dual 5,"Rs.24,999"
197,Micromax,Micromax Canvas Nitro,"Rs.16,999"
198,Micromax,Micromax Canvas Knight,"Rs.16,990"
199,Micromax,Micromax Canvas XL,"Rs.14,212"
200,Micromax,Micromax Canvas Power,"Rs.12,999"
201,Micromax,Micromax A84,"Rs.12,999"
202,Micromax,Micromax Canvas Magnus,"Rs.12,995"
203,Micromax,Micromax Canvas Ego A113,"Rs.12,689"
204,Micromax,Micromax A90 Superfone Pixel,"Rs.12,132"
205,Micromax,Micromax Canvas Juice 3+,"Rs.11,999"
206,Micromax,Micromax Canvas Turbo,"Rs.11,999"
207,Micromax,Micromax A90S Superfone Pixel,"Rs.11,999"
208,Micromax,Micromax Canvas 3D,"Rs.11,999"
209,Micromax,Micromax A116i Canvas HD,"Rs.11,294"
210,Micromax,Micromax Canvas Infinity Pro,"Rs.10,999"
211,Micromax,Micromax Canvas L,"Rs.10,142"
212,Micromax,Micromax Evok Dual Note,"Rs.9,999"
213,Micromax,Micromax EG333,"Rs.9,999"
214,Micromax,Micromax  Superfone Infinity A80 ,"Rs.9,999"
215,Micromax,Micromax Canvas Win W121,"Rs.9,990"
216,Micromax,Micromax Selfie 3,"Rs.9,590"
217,Micromax,Micromax Canvas Evok,"Rs.9,350"
218,Micromax,Micromax Canvas 4,"Rs.8,999"
219,Micromax,Micromax Canvas 2 A110,"Rs.8,995"
220,Micromax,Micromax Bling,"Rs.8,995"
221,Micromax,Micromax Canvas Doodle 2,"Rs.8,990"
222,Micromax,Micromax Superfone,"Rs.8,645"
223,Micromax,Micromax Evok Note,"Rs.8,499"
224,Gionee,Gionee Gpad G4,"Rs.22,799"
225,Gionee,Gionee Elife E8,"Rs.22,292"
226,Gionee,Gionee Marathon M5 Plus,"Rs.19,999"
227,Gionee,Gionee Elife E7,"Rs.17,499"
228,Gionee,Gionee Gpad G2,"Rs.17,499"
229,Gionee,Gionee Elife S7,"Rs.16,500"
230,Gionee,Gionee Marathon M4,"Rs.16,000"
231,Gionee,Gionee Dream D1,"Rs.14,500"
232,Gionee,Gionee Elife S5.1,"Rs.14,000"
233,Gionee,Gionee A1 Plus,"Rs.13,124"
234,Gionee,Gionee Marathon M5,"Rs.12,999"
235,Gionee,Gionee Elife S5.5,"Rs.12,499"
236,Gionee,Gionee Elife E7 Mini,"Rs.11,999"
237,Gionee,Gionee M7 Power,"Rs.11,049"
238,Gionee,Gionee M2,"Rs.10,945"
239,Gionee,Gionee A1,"Rs.10,750"
240,Gionee,Gionee S Plus,"Rs.10,690"
241,Gionee,Gionee Marathon M3,"Rs.10,499"
242,Gionee,Gionee S6,"Rs.10,090"
243,Gionee,Gionee Gpad G5,"Rs.9,500"
244,Gionee,Gionee Gpad G1,"Rs.9,500"
245,Gionee,Gionee S6 Pro,"Rs.9,000"
246,Gionee,Gionee Elife E5,"Rs.8,990"
247,Gionee,Gionee S6s,"Rs.8,669"
248,Gionee,Gionee S10 Lite,"Rs.8,649"
249,Gionee,Gionee Elife E6,"Rs.8,599"
250,Gionee,Gionee CTRL V3,"Rs.8,399"
251,Gionee,Gionee A1 Lite,"Rs.8,234"
252,Lava,Lava Z25,"Rs.12,980"
253,Lava,Lava V5,"Rs.12,000"
254,Lava,Lava A55,"Rs.10,999"
255,Lava,Lava Iris Pro 30,"Rs.9,999"
256,Lava,Lava S12,"Rs.9,749"
257,Lava,Lava Iris X5 4G,"Rs.9,550"
258,Lava,Lava Iris 504q,"Rs.9,499"
259,Lava,Lava Z90,"Rs.8,999"
260,Lava,Lava Iris 550Q,"Rs.8,899"
261,Lava,Lava Iris X1 Grand,"Rs.8,880"
262,Lava,Lava Iris Fuel F1,"Rs.8,700"
263,Lava,Lava Iris 404e,"Rs.8,590"
264,Lava,Lava Iris 504Q+,"Rs.8,556"
265,Lava,Lava X10,"Rs.8,499"
266,Lava,Lava Iris 506q,"Rs.8,207"
267,Lava,Lava Pixel V1,"Rs.7,999"
268,Lava,Lava Iris 505,"Rs.7,760"
269,Lava,Lava Icon,"Rs.7,750"
270,Lava,Lava Pixel V2,"Rs.7,499"
271,Lava,Lava X50+,"Rs.7,494"
272,Lava,Lava Z80,"Rs.7,399"
273,Lava,Lava X81,"Rs.7,299"
274,Lava,Lava Iris 454,"Rs.7,212"
275,Lava,Lava X46,"Rs.7,199"
